record_type,field,value,source_url,evidence_type,confidence,source_snippet,notes,retrieved_at
"brand_profile","schemaVersion","2.0","https://clearflowplumbing.example","observed","high","","Synthetic plumbing fixture for industry-agnostic measurement","1970-01-01T00:00:00.000Z"
"brand_profile","businessName","ClearFlow Plumbing","https://clearflowplumbing.example","observed","high","","Synthetic plumbing fixture for industry-agnostic measurement","1970-01-01T00:00:00.000Z"
"brand_profile","website","https://clearflowplumbing.example","https://clearflowplumbing.example","observed","high","","Synthetic plumbing fixture for industry-agnostic measurement","1970-01-01T00:00:00.000Z"
"brand_profile","description","ClearFlow Plumbing is a family-owned residential plumbing company serving homeowners with emergency repairs, water heater installation, and drain clearing. Licensed technicians arrive with transparent flat-rate pricing.","https://clearflowplumbing.example","observed","high","","Synthetic plumbing fixture for industry-agnostic measurement","1970-01-01T00:00:00.000Z"
"brand_profile","audience","Homeowners who need reliable plumbing repairs without surprise invoices","https://clearflowplumbing.example","observed","high","","Synthetic plumbing fixture for industry-agnostic measurement","1970-01-01T00:00:00.000Z"
"brand_profile","products","[""Emergency plumbing dispatch"",""Water heater installation"",""Drain clearing"",""Leak detection""]","https://clearflowplumbing.example","observed","high","","Synthetic plumbing fixture for industry-agnostic measurement","1970-01-01T00:00:00.000Z"
"brand_profile","services","[""Same-day emergency repairs"",""Tank and tankless water heater installs"",""Camera drain inspection"",""Whole-home leak detection""]","https://clearflowplumbing.example","observed","high","","Synthetic plumbing fixture for industry-agnostic measurement","1970-01-01T00:00:00.000Z"
"brand_profile","indexedProducts","[{""name"":""Tankless water heater install"",""sourceUrl"":""https://clearflowplumbing.example/services/water-heaters""},{""name"":""Emergency drain clearing"",""sourceUrl"":""https://clearflowplumbing.example/services/drains""},{""name"":""Slab leak detection"",""sourceUrl"":""https://clearflowplumbing.example/services/leak-detection""},{""name"":""Garbage disposal replacement"",""sourceUrl"":""https://clearflowplumbing.example/services/disposals""},{""name"":""Main line hydro jetting"",""sourceUrl"":""https://clearflowplumbing.example/services/drains""},{""name"":""Fixture repair visit"",""sourceUrl"":""https://clearflowplumbing.example/services/repairs""}]","https://clearflowplumbing.example","observed","high","","Synthetic plumbing fixture for industry-agnostic measurement","1970-01-01T00:00:00.000Z"
"brand_profile","valueProposition","Licensed plumbers, flat-rate quotes before work starts, and same-day emergency response for homeowners.","https://clearflowplumbing.example","observed","high","","Synthetic plumbing fixture for industry-agnostic measurement","1970-01-01T00:00:00.000Z"
"brand_profile","brandVoice","Straightforward · Local · Trustworthy","https://clearflowplumbing.example","observed","high","","Synthetic plumbing fixture for industry-agnostic measurement","1970-01-01T00:00:00.000Z"
"brand_profile","marketingOpportunity","Help homeowners understand when to repair versus replace water heaters and how flat-rate plumbing quotes work.","https://clearflowplumbing.example","recommended","medium","","Synthetic plumbing fixture for industry-agnostic measurement","1970-01-01T00:00:00.000Z"
"brand_profile","colors","[]","https://clearflowplumbing.example","inferred","low","","Synthetic plumbing fixture for industry-agnostic measurement","1970-01-01T00:00:00.000Z"
"brand_profile","socialProfiles","[]","https://clearflowplumbing.example","observed","high","","Synthetic plumbing fixture for industry-agnostic measurement","1970-01-01T00:00:00.000Z"
