record_type,field,value,source_url,evidence_type,confidence,source_snippet,notes,retrieved_at
"brand_profile","schemaVersion","2.0","https://thin-signal.example","observed","high","","Synthetic thin fixture for graceful degradation","1970-01-01T00:00:00.000Z"
"brand_profile","businessName","Thin Signal Co","https://thin-signal.example","observed","high","","Synthetic thin fixture for graceful degradation","1970-01-01T00:00:00.000Z"
"brand_profile","website","https://thin-signal.example","https://thin-signal.example","observed","high","","Synthetic thin fixture for graceful degradation","1970-01-01T00:00:00.000Z"
"brand_profile","description","Thin Signal Co helps local makers share product updates online.","https://thin-signal.example","observed","high","","Synthetic thin fixture for graceful degradation","1970-01-01T00:00:00.000Z"
"brand_profile","audience","","https://thin-signal.example","observed","low","","Synthetic thin fixture for graceful degradation","1970-01-01T00:00:00.000Z"
"brand_profile","products","[""Starter guide""]","https://thin-signal.example","observed","medium","","Synthetic thin fixture for graceful degradation","1970-01-01T00:00:00.000Z"
"brand_profile","services","[]","https://thin-signal.example","observed","low","","Synthetic thin fixture for graceful degradation","1970-01-01T00:00:00.000Z"
"brand_profile","indexedProducts","[]","https://thin-signal.example","observed","low","","Synthetic thin fixture for graceful degradation","1970-01-01T00:00:00.000Z"
"brand_profile","valueProposition","","https://thin-signal.example","observed","low","","Synthetic thin fixture for graceful degradation","1970-01-01T00:00:00.000Z"
"brand_profile","brandVoice","","https://thin-signal.example","observed","low","","Synthetic thin fixture for graceful degradation","1970-01-01T00:00:00.000Z"
"brand_profile","marketingOpportunity","","https://thin-signal.example","recommended","low","","Synthetic thin fixture for graceful degradation","1970-01-01T00:00:00.000Z"
"brand_profile","colors","[]","https://thin-signal.example","inferred","low","","Synthetic thin fixture for graceful degradation","1970-01-01T00:00:00.000Z"
"brand_profile","socialProfiles","[]","https://thin-signal.example","observed","high","","Synthetic thin fixture for graceful degradation","1970-01-01T00:00:00.000Z"
"brand_profile","competitors","[]","https://thin-signal.example","inferred","low","","Synthetic thin fixture for graceful degradation","1970-01-01T00:00:00.000Z"
"brand_profile","seoSummary","{""metadataCompleteness"":""weak"",""pageSpeedNote"":"""",""technicalObservations"":[],""contentOpportunities"":[]}","https://thin-signal.example","observed","low","","Synthetic thin fixture for graceful degradation","1970-01-01T00:00:00.000Z"
"brand_profile","derivedFieldNames","[]","https://thin-signal.example","inferred","low","","Synthetic thin fixture for graceful degradation","1970-01-01T00:00:00.000Z"
