record_type,field,value,source_url,evidence_type,confidence,source_snippet,notes,retrieved_at
"brand_profile","businessName","Zynava","https://zynava.com","observed","high","","Refreshed from public zynava.com crawl via refresh:zynava-fixture (discovery-csv-rows)","2026-07-27T22:38:11.925Z"
"brand_profile","website","https://zynava.com","https://zynava.com","observed","high","","Refreshed from public zynava.com crawl via refresh:zynava-fixture (discovery-csv-rows)","2026-07-27T22:38:11.925Z"
"brand_profile","description","Zynava is a free AI-powered supplement search and price-comparison engine that helps shoppers find matching products across retailers.","https://zynava.com","inferred","medium","","Refreshed from public zynava.com crawl via refresh:zynava-fixture (discovery-csv-rows)","2026-07-27T22:38:11.925Z"
"brand_profile","audience","Shoppers comparing supplements who want clearer prices, ingredients, and brand options before buying","https://zynava.com","inferred","medium","","Refreshed from public zynava.com crawl via refresh:zynava-fixture (discovery-csv-rows)","2026-07-27T22:38:11.925Z"
"brand_profile","products","[""Supplement search"",""Price comparison"",""Supplement plan builder"",""AI supplement advisor""]","https://zynava.com","inferred","medium","","Refreshed from public zynava.com crawl via refresh:zynava-fixture (discovery-csv-rows)","2026-07-27T22:38:11.925Z"
"brand_profile","services","[""Multi-retailer supplement discovery"",""Ingredient and form filters"",""Educational comparison guidance""]","https://zynava.com","inferred","medium","","Refreshed from public zynava.com crawl via refresh:zynava-fixture (discovery-csv-rows)","2026-07-27T22:38:11.925Z"
"brand_profile","catalogProducts","[{""name"":""Magnesium glycinate"",""sourceUrl"":""https://zynava.com/""},{""name"":""Vitamin D3"",""sourceUrl"":""https://zynava.com/""},{""name"":""Magnesium"",""sourceUrl"":""https://zynava.com/supplements/catalog""},{""name"":""Vitamin C"",""sourceUrl"":""https://zynava.com/supplements/catalog""},{""name"":""Vitamin D"",""sourceUrl"":""https://zynava.com/supplements/catalog""},{""name"":""Vitamin B12"",""sourceUrl"":""https://zynava.com/supplements/catalog""},{""name"":""Zinc"",""sourceUrl"":""https://zynava.com/supplements/catalog""},{""name"":""Omega-3"",""sourceUrl"":""https://zynava.com/tools/ingredient-explorer""}]","https://zynava.com","observed","high","","Refreshed from public zynava.com crawl via refresh:zynava-fixture (discovery-csv-rows)","2026-07-27T22:38:11.925Z"
"brand_profile","valueProposition","Compare supplement prices and formulations in one search so shoppers can choose with more clarity and less guesswork","https://zynava.com","inferred","medium","","Refreshed from public zynava.com crawl via refresh:zynava-fixture (discovery-csv-rows)","2026-07-27T22:38:11.925Z"
"brand_profile","brandVoice","Clear, practical, transparent, non-medical","https://zynava.com","inferred","medium","","Refreshed from public zynava.com crawl via refresh:zynava-fixture (discovery-csv-rows)","2026-07-27T22:38:11.925Z"
"brand_profile","marketingOpportunity","Help overwhelmed shoppers compare supplement prices, ingredients, and brands before they buy","https://zynava.com","recommended","medium","","Refreshed from public zynava.com crawl via refresh:zynava-fixture (discovery-csv-rows)","2026-07-27T22:38:11.925Z"
