record_type,field,value,source_url,evidence_type,confidence,source_snippet,notes,retrieved_at
"brand_profile","schemaVersion","1.1","https://zynava.com","observed","high","","Proposed Zynava discovery CSV (proposed from frozen Layer-1 (10 pages)); schema 1.1; Does not replace approved CSV until approve:zynava-fixture; Derived fields from rules/fallbackProfile (LLM skipped).; Curated platform capabilities applied (4); not catalog SKUs.","2026-07-28T15:35:27.528Z"
"brand_profile","businessName","Zynava","https://zynava.com","observed","high","","Proposed Zynava discovery CSV (proposed from frozen Layer-1 (10 pages)); schema 1.1; Does not replace approved CSV until approve:zynava-fixture; Derived fields from rules/fallbackProfile (LLM skipped).; Curated platform capabilities applied (4); not catalog SKUs.","2026-07-28T15:35:27.528Z"
"brand_profile","website","https://zynava.com","https://zynava.com","observed","high","","Proposed Zynava discovery CSV (proposed from frozen Layer-1 (10 pages)); schema 1.1; Does not replace approved CSV until approve:zynava-fixture; Derived fields from rules/fallbackProfile (LLM skipped).; Curated platform capabilities applied (4); not catalog SKUs.","2026-07-28T15:35:27.528Z"
"brand_profile","description","How It WorksContactMore✕HomeHow It WorksLearnOur PhilosophySupplementsHealth ToolsRetailersResearchAboutContactAbout ZYNAVAWhy ZYNAVA ExistsThe supplement market presents a paradox: we have more options than ever before, yet individuals often feel more confused, not less. ZYNAVA ","https://zynava.com","inferred","medium","","Proposed Zynava discovery CSV (proposed from frozen Layer-1 (10 pages)); schema 1.1; Does not replace approved CSV until approve:zynava-fixture; Derived fields from rules/fallbackProfile (LLM skipped).; Curated platform capabilities applied (4); not catalog SKUs.","2026-07-28T15:35:27.528Z"
"brand_profile","audience","Customers researching solutions in this category","https://zynava.com","inferred","medium","","Proposed Zynava discovery CSV (proposed from frozen Layer-1 (10 pages)); schema 1.1; Does not replace approved CSV until approve:zynava-fixture; Derived fields from rules/fallbackProfile (LLM skipped).; Curated platform capabilities applied (4); not catalog SKUs.","2026-07-28T15:35:27.528Z"
"brand_profile","products","[""Supplement search"",""Price comparison"",""Supplement plan builder"",""AI supplement advisor""]","https://zynava.com","inferred","medium","","Proposed Zynava discovery CSV (proposed from frozen Layer-1 (10 pages)); schema 1.1; Does not replace approved CSV until approve:zynava-fixture; Derived fields from rules/fallbackProfile (LLM skipped).; Curated platform capabilities applied (4); not catalog SKUs.","2026-07-28T15:35:27.528Z"
"brand_profile","services","[]","https://zynava.com","inferred","medium","","Proposed Zynava discovery CSV (proposed from frozen Layer-1 (10 pages)); schema 1.1; Does not replace approved CSV until approve:zynava-fixture; Derived fields from rules/fallbackProfile (LLM skipped).; Curated platform capabilities applied (4); not catalog SKUs.","2026-07-28T15:35:27.528Z"
"brand_profile","indexedProducts","[{""name"":""Magnesium glycinate"",""sourceUrl"":""https://zynava.com/""},{""name"":""Vitamin D3"",""sourceUrl"":""https://zynava.com/""},{""name"":""Magnesium"",""sourceUrl"":""https://zynava.com/supplements/catalog""},{""name"":""Vitamin C"",""sourceUrl"":""https://zynava.com/tools/ingredient-explorer""},{""name"":""Vitamin D"",""sourceUrl"":""https://zynava.com/supplements/catalog""},{""name"":""Vitamin B12"",""sourceUrl"":""https://zynava.com/tools/ingredient-explorer""},{""name"":""Zinc"",""sourceUrl"":""https://zynava.com/tools/ingredient-explorer""},{""name"":""Omega-3"",""sourceUrl"":""https://zynava.com/tools/ingredient-explorer""},{""name"":""Calcium"",""sourceUrl"":""https://zynava.com/supplements/catalog/minerals/calcium""},{""name"":""Creatine"",""sourceUrl"":""https://zynava.com/tools/ingredient-explorer""}]","https://zynava.com","observed","high","","Proposed Zynava discovery CSV (proposed from frozen Layer-1 (10 pages)); schema 1.1; Does not replace approved CSV until approve:zynava-fixture; Derived fields from rules/fallbackProfile (LLM skipped).; Curated platform capabilities applied (4); not catalog SKUs.","2026-07-28T15:35:27.528Z"
"brand_profile","valueProposition","Help customers understand offerings and take the next step.","https://zynava.com","inferred","medium","","Proposed Zynava discovery CSV (proposed from frozen Layer-1 (10 pages)); schema 1.1; Does not replace approved CSV until approve:zynava-fixture; Derived fields from rules/fallbackProfile (LLM skipped).; Curated platform capabilities applied (4); not catalog SKUs.","2026-07-28T15:35:27.528Z"
"brand_profile","brandVoice","Clear · Helpful · Professional","https://zynava.com","inferred","medium","","Proposed Zynava discovery CSV (proposed from frozen Layer-1 (10 pages)); schema 1.1; Does not replace approved CSV until approve:zynava-fixture; Derived fields from rules/fallbackProfile (LLM skipped).; Curated platform capabilities applied (4); not catalog SKUs.","2026-07-28T15:35:27.528Z"
